Timepoint,Treatment,Replicate,sample_date,counting_date,sampling_effort_min,Origin,Streptophyta,Chlorophyta,Cyanobacteria,Bacillariophyta,Cryptophyta,Heterokontophyta,Ciliophora,Sum,R.Streptophyta,R.Chlorophyta,R.Cyanobacteria,R.Bacillariophyta,R.Cryptophyta,R.Heterokontophyta,R.Ciliophora
Start,Add,1,2022.07.28,2022.09.06,14,E,2,46,245,18,17,114,0,442,0.004524887,0.104072398,0.554298643,0.040723982,0.038461538,0.257918552,0
Start,Add,2,2022.07.28,2022.08.30,40,E,2,11,109,9,0,0,6,137,0.01459854,0.080291971,0.795620438,0.065693431,0,0,0.04379562
Start,Add,3,2022.07.28,2022.09.20,42,E,10,45,98,11,0,32,2,198,0.050505051,0.227272727,0.494949495,0.055555556,0,0.161616162,0.01010101
Start,Add,4,2022.07.28,2022.09.13,35,C,4,5,70,19,4,2,1,105,0.038095238,0.047619048,0.666666667,0.180952381,0.038095238,0.019047619,0.00952381
Start,Add,5,2022.07.28,2022.09.12,23,C,1,0,111,18,4,2,0,136,0.007352941,0,0.816176471,0.132352941,0.029411765,0.014705882,0
Start,Add,6,2022.07.28,2022.09.01,10,C,2,7,10,17,0,3,0,39,0.051282051,0.179487179,0.256410256,0.435897436,0,0.076923077,0
Start,Add,7,2022.07.28,2022.09.21,31,D,38,217,298,12,0,15,0,580,0.065517241,0.374137931,0.513793103,0.020689655,0,0.025862069,0
Start,Add,8,2022.07.28,2022.09.20,41,D,49,74,354,14,0,12,1,504,0.097222222,0.146825397,0.702380952,0.027777778,0,0.023809524,0.001984127
Start,Add,9,2022.07.28,2022.08.31,31,D,46,72,306,20,2,6,0,452,0.101769912,0.159292035,0.67699115,0.044247788,0.004424779,0.013274336,0
Start,Di,1,2022.07.28,2022.09.20,36,C,2,11,157,22,3,3,1,199,0.010050251,0.055276382,0.788944724,0.110552764,0.015075377,0.015075377,0.005025126
Start,Di,2,2022.07.28,2022.08.30,20,C,3,1,60,17,0,0,0,81,0.037037037,0.012345679,0.740740741,0.209876543,0,0,0
Start,Di,3,2022.07.28,2022.09.21,28,C,3,7,92,15,1,0,4,122,0.024590164,0.057377049,0.754098361,0.12295082,0.008196721,0,0.032786885
Start,Di,4,2022.07.28,2022.08.31,31,D,46,27,151,14,0,1,1,240,0.191666667,0.1125,0.629166667,0.058333333,0,0.004166667,0.004166667
Start,Di,5,2022.07.28,2022.09.21,30,D,49,68,300,8,3,15,3,446,0.109865471,0.152466368,0.67264574,0.01793722,0.006726457,0.033632287,0.006726457
Start,Di,6,2022.07.28,2022.09.20,37,D,29,64,271,11,6,20,6,407,0.071253071,0.157248157,0.665847666,0.027027027,0.014742015,0.049140049,0.014742015
Start,Di,7,2022.07.28,2022.09.01,47,E,7,55,132,6,19,39,6,264,0.026515152,0.208333333,0.5,0.022727273,0.071969697,0.147727273,0.022727273
Start,Di,8,2022.07.28,2022.09.12,40,E,7,62,166,9,10,54,0,308,0.022727273,0.201298701,0.538961039,0.029220779,0.032467532,0.175324675,0
Start,Di,9,2022.07.28,2022.09.12,26,E,2,2,69,17,4,6,1,101,0.01980198,0.01980198,0.683168317,0.168316832,0.03960396,0.059405941,0.00990099
Start,Con,1,2022.07.28,2022.09.07,39,D,47,57,142,6,0,5,2,259,0.181467181,0.22007722,0.548262548,0.023166023,0,0.019305019,0.007722008
Start,Con,2,2022.07.28,2022.08.30,50,D,64,16,251,10,0,5,4,350,0.182857143,0.045714286,0.717142857,0.028571429,0,0.014285714,0.011428571
Start,Con,3,2022.07.28,2022.09.07,44,D,44,61,226,8,0,1,3,343,0.128279883,0.177842566,0.658892128,0.023323615,0,0.002915452,0.008746356
Start,Con,4,2022.07.28,2022.09.01,37,E,10,53,115,6,2,34,2,222,0.045045045,0.238738739,0.518018018,0.027027027,0.009009009,0.153153153,0.009009009
Start,Con,5,2022.07.28,2022.08.31,33,E,11,40,107,7,11,22,5,203,0.054187192,0.197044335,0.527093596,0.034482759,0.054187192,0.108374384,0.024630542
Start,Con,6,2022.07.28,2022.09.21,32,E,8,70,202,12,17,84,5,398,0.020100503,0.175879397,0.507537688,0.030150754,0.042713568,0.211055276,0.012562814
Start,Con,7,2022.07.28,2022.09.13,37,C,2,21,149,15,9,6,0,202,0.00990099,0.103960396,0.737623762,0.074257426,0.044554455,0.02970297,0
Start,Con,8,2022.07.28,2022.09.07,22,C,2,14,56,12,1,3,0,88,0.022727273,0.159090909,0.636363636,0.136363636,0.011363636,0.034090909,0
Start,Con,9,2022.07.28,2022.09.13,24,C,3,3,128,15,0,2,2,153,0.019607843,0.019607843,0.836601307,0.098039216,0,0.013071895,0.013071895
End,Add,1,2022.08.05,2022.10.07,31,E,7,325,120,7,2,6,2,469,0.014925373,0.692963753,0.255863539,0.014925373,0.004264392,0.012793177,0.004264392
End,Add,2,2022.08.05,2022.10.06,30,E,10,71,58,1,0,3,5,148,0.067567568,0.47972973,0.391891892,0.006756757,0,0.02027027,0.033783784
End,Add,3,2022.08.05,2022.10.05,29,E,13,574,136,10,0,34,9,776,0.016752577,0.739690722,0.175257732,0.012886598,0,0.043814433,0.011597938
End,Add,4,2022.08.05,2022.10.07,31,C,3,52,24,63,19,3,14,178,0.016853933,0.292134831,0.134831461,0.353932584,0.106741573,0.016853933,0.078651685
End,Add,5,2022.08.05,2022.10.07,31,C,6,59,29,131,10,31,29,295,0.020338983,0.2,0.098305085,0.444067797,0.033898305,0.105084746,0.098305085
End,Add,6,2022.08.05,2022.10.04,29,C,2,42,1,31,1,13,2,92,0.02173913,0.456521739,0.010869565,0.336956522,0.010869565,0.141304348,0.02173913
End,Add,7,2022.08.05,2022.10.04,29,D,12,278,170,2,0,4,8,474,0.025316456,0.58649789,0.358649789,0.004219409,0,0.008438819,0.016877637
End,Add,8,2022.08.05,2022.10.05,32,D,17,166,140,6,0,3,0,332,0.051204819,0.5,0.421686747,0.018072289,0,0.009036145,0
End,Add,9,2022.08.05,2022.10.06,30,D,12,244,171,4,0,3,5,439,0.027334852,0.555808656,0.38952164,0.009111617,0,0.006833713,0.011389522
End,Di,1,2022.08.05,2022.09.23,22,C,3,38,41,8,0,16,5,111,0.027027027,0.342342342,0.369369369,0.072072072,0,0.144144144,0.045045045
End,Di,2,2022.08.05,2022.10.06,19,C,0,14,17,12,0,14,0,57,0,0.245614035,0.298245614,0.210526316,0,0.245614035,0
End,Di,3,2022.08.05,2022.10.03,30,C,10,145,87,3,0,0,4,249,0.040160643,0.582329317,0.34939759,0.012048193,0,0,0.016064257
End,Di,4,2022.08.05,2022.08.05,31,D,22,501,210,6,4,6,6,755,0.029139073,0.663576159,0.278145695,0.00794702,0.005298013,0.00794702,0.00794702
End,Di,5,2022.08.05,2022.09.22,19,D,9,241,81,6,0,4,13,354,0.025423729,0.68079096,0.228813559,0.016949153,0,0.011299435,0.036723164
End,Di,6,2022.08.05,2022.08.05,30,D,6,447,61,4,0,1,13,532,0.011278195,0.840225564,0.114661654,0.007518797,0,0.001879699,0.02443609
End,Di,7,2022.08.05,2022.08.05,29,E,3,231,45,4,0,5,0,288,0.010416667,0.802083333,0.15625,0.013888889,0,0.017361111,0
End,Di,8,2022.08.05,2022.08.05,31,E,11,420,140,9,0,14,6,600,0.018333333,0.7,0.233333333,0.015,0,0.023333333,0.01
End,Di,9,2022.08.05,2022.09.22,31,E,4,315,144,17,0,8,6,494,0.008097166,0.637651822,0.291497976,0.034412955,0,0.016194332,0.012145749
End,Con,1,2022.08.05,2022.10.06,30,D,11,69,91,2,0,4,0,177,0.062146893,0.389830508,0.514124294,0.011299435,0,0.02259887,0
End,Con,2,2022.08.05,2022.10.04,30,D,21,174,111,3,0,2,10,321,0.065420561,0.542056075,0.345794393,0.009345794,0,0.00623053,0.031152648
End,Con,3,2022.08.05,2022.09.23,30,D,17,135,118,4,0,4,4,282,0.060283688,0.478723404,0.418439716,0.014184397,0,0.014184397,0.014184397
End,Con,4,2022.08.05,2022.10.05,30,E,12,251,222,3,0,9,5,502,0.023904382,0.5,0.442231076,0.005976096,0,0.017928287,0.009960159
End,Con,5,2022.08.05,2022.08.05,29,E,3,22,17,5,0,6,0,53,0.056603774,0.41509434,0.320754717,0.094339623,0,0.113207547,0
End,Con,6,2022.08.05,2022.10.04,29,E,16,239,52,5,0,34,5,351,0.045584046,0.680911681,0.148148148,0.014245014,0,0.096866097,0.014245014
End,Con,7,2022.08.05,2022.08.05,29,C,3,10,7,19,0,2,1,42,0.071428571,0.238095238,0.166666667,0.452380952,0,0.047619048,0.023809524
End,Con,8,2022.08.05,2022.10.03,30,C,2,5,6,14,0,3,2,32,0.0625,0.15625,0.1875,0.4375,0,0.09375,0.0625
End,Con,9,2022.08.05,2022.09.22,25,C,4,16,46,41,1,0,0,108,0.037037037,0.148148148,0.425925926,0.37962963,0.009259259,0,0
