Mesocosm,Treatment,Replicate,Sample,Ochromonas,Rhodomonas,Mesodinium,Microcystis,Cyclotella,Woronichinia,Chlamydomonas,Rimostrombidium,Phaester,Ciliates,Mallomonas,Eudorina,Dolichospermum,Desmodesmus,Merismopedia,Closterium,Cosmarium,Quadrigula,Heliozoa,Tetraedron,Oocystis,Elakatothrix,Ankyra,Koliella,Dolichospermum2,Stephanodiscus,Acanthoceras,Gloeocapsa,Snowella,Cryptomonas,Coelastrum,Chlorophyceae,Chroococcus,Trachelomonas,Ankistrodesmus,Paulschulzsia,Dictyosphaerium,Kirchneriella,Comasiella,Stauridium,Total,No_species,Mesocosm,Treatment,Replicate,Sample,Cyanobacteria,Chlorophyta,Ciliophora,Cryptophyta,Heterokontophyta,Bacillariophyta,Heliozoa,Euglenozoa,Streptophyta,Sum,Mesocosm,Treatment,Replicate,Sample,Cyanobacteria,Chlorophyta,Ciliophora,Cryptophyta,Heterokontophyta,Bacillariophyta,Heliozoa,Euglenozoa,Streptophyta
1,C,1,d01,81,548,23,37,149,8,68,5,128,37,3,3,5,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1114,17,1,C,1,d01,60,77,65,548,212,149,0,0,3,1114,1,C,1,d01,0.053859964,0.069120287,0.058348294,0.491921005,0.190305206,0.133752244,0,0,0.002692998
2,D,1,d01,144,735,21,55,272,17,96,7,110,13,3,3,3,0,27,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,15,2,D,1,d01,102,116,41,735,257,272,0,0,0,1523,2,D,1,d01,0.066973079,0.076165463,0.026920552,0.482600131,0.168745896,0.178594879,0,0,0
3,I,1,d01,134,674,4,57,508,8,179,0,175,8,16,0,8,0,8,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799,14,3,I,1,d01,81,199,12,674,325,508,0,0,0,1799,3,I,1,d01,0.045025014,0.110617009,0.006670372,0.374652585,0.18065592,0.282379099,0,0,0
4,E,1,d01,101,525,4,69,467,14,109,7,91,0,4,0,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,12,4,E,1,d01,90,127,11,525,196,467,0,0,0,1416,4,E,1,d01,0.063559322,0.089689266,0.007768362,0.370762712,0.138418079,0.32980226,0,0,0
5,I,2,d01,125,928,37,37,291,8,204,0,141,42,4,0,25,0,8,4,0,42,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,15,5,I,2,d01,78,254,79,928,270,291,0,0,4,1904,5,I,2,d01,0.040966387,0.133403361,0.041491597,0.487394958,0.141806723,0.152836134,0,0,0.00210084
6,E,2,d01,149,715,7,45,354,7,115,11,127,22,4,22,7,0,22,0,0,15,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,16,6,E,2,d01,81,178,40,715,280,354,0,0,0,1648,6,E,2,d01,0.049150485,0.108009709,0.024271845,0.433859223,0.169902913,0.214805825,0,0,0
8,D,2,d01,63,516,19,26,270,16,74,16,130,11,0,3,8,0,11,3,0,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,17,8,D,2,d01,61,96,46,516,193,270,0,0,3,1185,8,D,2,d01,0.051476793,0.081012658,0.038818565,0.435443038,0.162869198,0.227848101,0,0,0.002531646
9,E,3,d01,99,747,12,9,471,12,81,9,3,35,3,0,3,0,20,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,15,9,E,3,d01,44,84,56,747,105,471,0,0,3,1510,9,E,3,d01,0.029139073,0.055629139,0.037086093,0.494701987,0.069536424,0.31192053,0,0,0.001986755
10,C,3,d01,139,1004,33,51,451,23,84,14,93,70,0,9,0,0,28,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,14,10,C,3,d01,102,102,117,1004,232,451,0,0,5,2013,10,C,3,d01,0.050670641,0.050670641,0.058122206,0.498758073,0.115250869,0.224043716,0,0,0.002483855
11,D,3,d01,84,1013,33,4,465,11,7,7,18,15,0,4,8,0,11,4,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,16,11,D,3,d01,34,18,55,1013,102,465,4,0,4,1695,11,D,3,d01,0.020058997,0.010619469,0.032448378,0.597640118,0.060176991,0.274336283,0.002359882,0,0.002359882
12,I,3,d01,99,490,12,12,243,7,46,2,7,24,0,7,2,0,5,2,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,17,12,I,3,d01,26,60,38,490,106,243,2,0,2,967,12,I,3,d01,0.02688728,0.06204757,0.039296794,0.50672182,0.109617373,0.251292658,0.002068252,0,0.002068252
13,D,4,d01,63,638,22,63,849,0,207,0,76,22,4,0,9,9,18,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,14,13,D,4,d01,90,234,44,638,143,849,0,0,4,2002,13,D,4,d01,0.044955045,0.116883117,0.021978022,0.318681319,0.071428571,0.424075924,0,0,0.001998002
14,I,4,d01,72,610,9,53,500,9,69,3,85,3,0,0,16,0,16,0,0,41,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,14,14,I,4,d01,94,113,15,610,157,500,0,0,0,1489,14,I,4,d01,0.063129617,0.075889859,0.010073875,0.40967092,0.105439893,0.335795836,0,0,0
15,E,4,d01,44,731,24,47,374,7,67,0,88,7,3,0,0,0,17,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,13,15,E,4,d01,71,84,31,731,135,374,0,0,10,1436,15,E,4,d01,0.049442897,0.058495822,0.021587744,0.509052925,0.094011142,0.260445682,0,0,0.006963788
16,C,4,d01,46,665,12,52,255,0,64,6,88,9,0,0,3,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,12,16,C,4,d01,67,64,27,665,134,255,0,0,12,1224,16,C,4,d01,0.054738562,0.052287582,0.022058824,0.543300654,0.109477124,0.208333333,0,0,0.009803922
1,C,1,d13,2,30,4,65,519,65,24,0,37,0,0,0,0,4,80,2,0,7,4,2,0,0,0,2,39,11,11,2,4,0,0,0,0,0,0,0,0,0,0,0,914,21,1,C,1,d13,255,39,4,30,39,541,4,0,2,914,1,C,1,d13,0.278993435,0.042669584,0.004376368,0.032822757,0.042669584,0.59190372,0.004376368,0,0.002188184
2,D,1,d13,13,42,3,83,549,87,26,0,183,0,0,26,6,0,87,10,0,19,6,6,0,13,0,0,83,263,3,0,0,42,0,45,3,0,3,0,0,0,0,0,1601,24,2,D,1,d13,349,125,3,84,196,815,6,0,23,1601,2,D,1,d13,0.217988757,0.078076202,0.001873829,0.052467208,0.122423485,0.509056839,0.003747658,0,0.014366021
3,I,1,d13,35,12,0,65,501,32,3,0,100,0,0,6,6,12,85,12,0,9,0,3,0,6,12,0,24,183,6,0,0,9,0,15,0,0,0,0,0,0,0,0,1136,22,3,I,1,d13,212,60,0,21,135,690,0,0,18,1136,3,I,1,d13,0.186619718,0.052816901,0,0.018485915,0.118838028,0.607394366,0,0,0.01584507
4,E,1,d13,25,4,4,78,533,74,0,0,152,0,0,7,0,7,81,21,0,32,4,127,4,0,4,0,49,204,4,0,0,11,0,0,0,0,0,0,0,0,0,0,1425,21,4,E,1,d13,282,181,4,15,177,741,4,0,21,1425,4,E,1,d13,0.197894737,0.127017544,0.002807018,0.010526316,0.124210526,0.52,0.002807018,0,0.014736842
5,I,2,d13,55,28,5,83,894,88,5,0,129,0,0,5,5,5,97,18,0,5,5,14,374,0,5,0,69,69,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1967,22,5,I,2,d13,342,422,5,28,184,963,5,0,18,1967,5,I,2,d13,0.173868836,0.214539908,0.002541942,0.014234875,0.093543467,0.489578038,0.002541942,0,0.009150991
6,E,2,d13,10,40,0,82,409,86,23,0,40,0,0,6,0,4,86,2,0,2,0,0,8,4,0,0,23,75,15,0,0,17,0,0,0,0,2,2,0,0,0,0,936,21,6,E,2,d13,277,47,0,57,50,499,0,0,6,936,6,E,2,d13,0.295940171,0.050213675,0,0.060897436,0.053418803,0.533119658,0,0,0.006410256
7,C,2,d13,34,0,0,72,643,65,21,0,134,21,14,21,10,7,79,27,0,3,0,0,0,3,3,3,62,230,52,0,0,7,0,0,0,0,0,0,3,0,0,0,1514,23,7,C,2,d13,288,61,21,7,182,925,0,0,30,1514,7,C,2,d13,0.190224571,0.040290621,0.013870542,0.004623514,0.120211361,0.610964333,0,0,0.019815059
8,D,2,d13,41,34,3,69,500,79,41,0,83,0,0,31,7,3,83,7,0,14,0,7,3,0,0,0,72,324,24,0,0,0,0,0,0,0,0,0,7,0,0,0,1432,21,8,D,2,d13,310,106,3,34,124,848,0,0,7,1432,8,D,2,d13,0.216480447,0.074022346,0.002094972,0.023743017,0.086592179,0.592178771,0,0,0.004888268
9,E,3,d13,7,31,0,71,367,57,3,0,21,2,0,5,0,5,73,0,0,3,2,0,5,2,2,0,9,48,10,3,0,0,0,0,0,0,3,0,0,0,0,0,729,22,9,E,3,d13,213,26,2,31,28,425,2,0,2,729,9,E,3,d13,0.29218107,0.035665295,0.002743484,0.042524005,0.038408779,0.582990398,0.002743484,0,0.002743484
10,C,3,d13,0,2,7,30,482,30,15,0,11,0,2,2,7,0,67,0,0,0,13,2,2,7,0,0,18,7,8,0,3,0,0,0,0,0,0,0,0,0,0,0,715,19,10,C,3,d13,155,21,7,2,13,497,13,0,7,715,10,C,3,d13,0.216783217,0.029370629,0.00979021,0.002797203,0.018181818,0.695104895,0.018181818,0,0.00979021
11,D,3,d13,16,52,8,88,446,85,10,0,0,0,0,10,10,8,93,24,0,3,8,8,3,3,0,5,67,287,31,0,3,34,0,0,0,0,0,0,0,0,0,0,1302,24,11,D,3,d13,346,47,8,86,16,764,8,0,27,1302,11,D,3,d13,0.265745008,0.03609831,0.006144393,0.066052227,0.012288786,0.586789555,0.006144393,0,0.020737327
12,I,3,d13,4,34,2,70,273,72,0,0,42,0,0,0,2,6,78,8,0,13,2,0,0,2,2,0,21,91,11,0,0,2,6,0,0,0,0,0,0,0,0,0,741,21,12,I,3,d13,243,27,2,36,46,375,2,0,10,741,12,I,3,d13,0.327935223,0.036437247,0.002699055,0.048582996,0.062078273,0.506072874,0.002699055,0,0.013495277
13,D,4,d13,0,9,3,32,390,28,3,0,15,0,0,0,0,0,54,0,0,0,0,0,1,3,6,0,7,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,568,15,13,D,4,d13,121,11,3,9,15,406,0,0,3,568,13,D,4,d13,0.213028169,0.019366197,0.00528169,0.01584507,0.026408451,0.714788732,0,0,0.00528169
14,I,4,d13,63,13,25,88,1416,88,50,0,164,0,13,50,6,25,88,38,6,0,13,201,0,44,6,0,82,579,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3071,23,14,I,4,d13,352,332,25,13,240,2008,13,0,88,3071,14,I,4,d13,0.114620645,0.108108108,0.008140671,0.004233149,0.07815044,0.653858678,0.004233149,0,0.028655161
15,E,4,d13,5,36,0,84,496,84,15,0,28,0,3,28,0,3,74,10,0,5,13,0,26,15,8,0,36,112,26,0,0,8,3,0,0,0,0,0,0,0,0,0,1118,23,15,E,4,d13,278,88,0,44,36,634,13,0,25,1118,15,E,4,d13,0.248658318,0.078711986,0,0.039355993,0.032200358,0.567084079,0.011627907,0,0.02236136
16,C,4,d13,0,0,0,63,765,71,3,0,24,0,0,0,0,0,81,0,0,5,3,0,0,3,3,0,8,5,5,0,0,3,0,3,3,3,0,0,0,0,0,0,1051,17,16,C,4,d13,226,14,0,3,24,775,3,3,3,1051,16,C,4,d13,0.215033302,0.013320647,0,0.002854424,0.022835395,0.737392959,0.002854424,0.002854424,0.002854424
1,C,1,d21,7,158,5,47,204,25,13,0,15,0,0,10,0,2,75,0,0,47,0,0,0,3,2,0,5,0,10,0,0,3,0,3,0,0,0,2,0,0,0,0,636,19,1,C,1,d21,152,79,5,161,22,214,0,0,3,636,1,C,1,d21,0.238993711,0.124213836,0.007861635,0.253144654,0.034591195,0.336477987,0,0,0.004716981
2,D,1,d21,3,61,6,94,113,94,50,0,11,3,0,97,36,113,94,86,0,94,17,6,100,25,0,0,80,0,0,0,0,6,3,9,0,0,0,36,25,0,0,0,1262,25,2,D,1,d21,398,533,9,67,14,113,17,0,111,1262,2,D,1,d21,0.315372425,0.422345483,0.007131537,0.053090333,0.011093502,0.089540412,0.013470681,0,0.087955626
3,I,1,d21,28,28,2,60,60,9,19,0,16,2,2,42,5,128,77,5,0,30,0,0,14,95,16,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,648,21,3,I,1,d21,151,259,4,28,46,60,0,0,100,648,3,I,1,d21,0.233024691,0.399691358,0.00617284,0.043209877,0.070987654,0.092592593,0,0,0.154320988
4,E,1,d21,48,105,1,44,32,11,4,0,0,0,1,27,2,24,65,11,0,6,5,0,14,11,0,1,9,0,0,0,0,74,1,0,0,0,0,6,0,0,0,0,502,22,4,E,1,d21,131,83,1,179,49,32,5,0,22,502,4,E,1,d21,0.260956175,0.165338645,0.001992032,0.356573705,0.097609562,0.06374502,0.009960159,0,0.043824701
5,I,2,d21,42,50,2,86,128,86,21,0,6,0,0,59,2,88,84,0,0,15,0,0,23,124,40,0,23,0,0,2,4,19,2,6,0,0,2,21,4,0,0,0,939,25,5,I,2,d21,287,281,2,69,48,128,0,0,124,939,5,I,2,d21,0.305644302,0.299254526,0.002129925,0.073482428,0.051118211,0.136315229,0,0,0.132055378
6,E,2,d21,191,340,0,89,134,18,33,0,12,0,3,15,3,80,95,12,0,77,0,0,21,51,15,0,30,0,0,0,3,0,0,0,0,3,0,15,0,0,0,0,1240,21,6,E,2,d21,238,256,0,340,206,134,0,3,63,1240,6,E,2,d21,0.191935484,0.206451613,0,0.274193548,0.166129032,0.108064516,0,0.002419355,0.050806452
7,C,2,d21,8,136,5,38,279,15,15,0,43,2,0,5,5,0,81,3,0,33,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,16,7,C,2,d21,139,55,7,136,51,279,0,0,18,685,7,C,2,d21,0.202919708,0.080291971,0.010218978,0.198540146,0.074452555,0.40729927,0,0,0.026277372
8,D,2,d21,21,7,0,69,76,42,7,0,35,0,0,0,48,14,62,48,0,7,0,0,14,14,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,15,8,D,2,d21,283,42,0,7,56,76,0,0,62,526,8,D,2,d21,0.538022814,0.079847909,0,0.013307985,0.106463878,0.144486692,0,0,0.117870722
9,E,3,d21,99,178,0,71,69,32,41,0,17,0,2,19,0,81,81,39,0,15,2,0,21,9,0,0,28,0,0,2,0,90,2,6,0,0,0,4,0,0,0,0,908,22,9,E,3,d21,214,189,0,268,118,69,2,0,48,908,9,E,3,d21,0.235682819,0.20814978,0,0.295154185,0.129955947,0.075991189,0.002202643,0,0.052863436
10,C,3,d21,9,129,13,53,372,47,44,0,27,0,0,11,0,2,93,0,0,29,0,0,20,9,7,0,16,0,29,0,2,2,0,4,0,0,0,0,0,0,0,0,918,20,10,C,3,d21,211,117,13,131,36,401,0,0,9,918,10,C,3,d21,0.229847495,0.12745098,0.01416122,0.142701525,0.039215686,0.436819172,0,0,0.009803922
11,D,3,d21,22,44,2,77,101,32,28,0,2,0,6,87,30,63,77,89,0,30,0,0,30,59,10,4,34,0,0,0,0,61,0,0,4,0,0,18,16,0,0,0,926,24,11,D,3,d21,254,286,2,105,30,101,0,0,148,926,11,D,3,d21,0.274298056,0.308855292,0.002159827,0.113390929,0.032397408,0.109071274,0,0,0.159827214
12,I,3,d21,9,10,0,80,52,80,2,0,16,2,2,40,3,42,54,28,2,26,0,0,37,37,3,21,17,0,0,7,0,40,5,3,0,0,0,16,0,2,0,0,636,27,12,I,3,d21,241,197,2,50,27,52,0,0,67,636,12,I,3,d21,0.378930818,0.309748428,0.003144654,0.078616352,0.04245283,0.081761006,0,0,0.105345912
13,D,4,d21,45,13,0,85,71,80,9,0,9,2,0,56,56,74,85,143,0,22,7,0,74,67,0,25,49,0,0,0,0,18,0,45,0,2,0,16,7,0,0,0,1060,24,13,D,4,d21,355,328,2,31,54,71,7,2,210,1060,13,D,4,d21,0.33490566,0.309433962,0.001886792,0.029245283,0.050943396,0.066981132,0.006603774,0.001886792,0.198113208
14,I,4,d21,64,25,18,74,133,15,74,0,0,0,8,92,0,135,99,69,0,33,0,3,33,69,13,0,31,0,0,0,0,3,3,3,0,5,0,18,0,0,0,0,1020,23,14,I,4,d21,219,407,18,28,72,133,0,5,138,1020,14,I,4,d21,0.214705882,0.399019608,0.017647059,0.02745098,0.070588235,0.130392157,0,0.004901961,0.135294118
15,E,4,d21,108,219,5,86,91,58,28,0,18,0,0,48,0,98,86,40,0,25,0,0,13,23,0,0,55,0,0,5,0,139,8,0,0,0,0,15,3,0,3,0,1174,22,15,E,4,d21,290,241,5,358,126,91,0,0,63,1174,15,E,4,d21,0.247018739,0.20528109,0.004258944,0.304940375,0.107325383,0.077512777,0,0,0.053662692
16,C,4,d21,13,85,0,29,290,22,14,0,22,2,0,5,0,4,72,0,0,91,0,0,2,20,11,0,4,0,11,0,2,0,0,9,0,0,0,0,0,0,0,0,708,19,16,C,4,d21,129,136,2,85,35,301,0,0,20,708,16,C,4,d21,0.18220339,0.192090395,0.002824859,0.120056497,0.049435028,0.425141243,0,0,0.028248588
1,C,1,d38,5,149,2,88,438,88,10,0,0,0,0,103,0,7,88,0,2,20,0,5,10,17,2,0,20,0,0,7,12,20,0,10,0,0,0,2,0,0,2,0,1107,23,1,C,1,d38,303,171,2,169,5,438,0,0,19,1107,1,C,1,d38,0.273712737,0.154471545,0.001806685,0.15266486,0.004516712,0.395663957,0,0,0.017163505
2,D,1,d38,0,54,0,94,485,94,27,0,0,0,0,27,54,2479,94,148,0,0,0,27,499,1064,13,13,13,0,0,13,391,0,13,81,0,0,0,0,108,0,0,0,5791,21,2,D,1,d38,753,3287,0,54,0,485,0,0,1212,5791,2,D,1,d38,0.130029356,0.567604904,0,0.009324814,0,0.083750648,0,0,0.209290278
3,I,1,d38,0,30,0,89,60,89,10,0,40,0,0,129,0,2631,89,10,0,0,10,10,149,576,40,0,50,0,0,0,248,10,50,60,0,0,0,0,40,0,20,0,4440,22,3,I,1,d38,565,3139,0,40,40,60,10,0,586,4440,3,I,1,d38,0.127252252,0.706981982,0,0.009009009,0.009009009,0.013513514,0.002252252,0,0.131981982
4,E,1,d38,0,173,14,77,150,91,14,0,18,0,5,0,0,1315,41,0,0,18,0,5,27,59,18,0,77,0,0,0,55,18,5,14,9,0,0,0,9,0,0,0,2212,22,4,E,1,d38,350,1425,14,191,23,150,0,0,59,2212,4,E,1,d38,0.158227848,0.644213382,0.006329114,0.086347197,0.01039783,0.067811935,0,0,0.026672694
5,I,2,d38,16,127,8,96,247,96,16,0,64,0,0,32,16,876,96,0,8,0,32,8,24,2047,8,0,16,0,0,0,112,8,8,48,8,0,8,0,16,0,0,0,4041,26,5,I,2,d38,440,1044,8,135,80,247,32,0,2055,4041,5,I,2,d38,0.10888394,0.258351893,0.001979708,0.033407572,0.01979708,0.061123484,0.007918832,0,0.508537491
6,E,2,d38,9,334,0,66,122,56,9,0,28,0,5,38,5,1072,89,0,0,71,5,5,52,146,14,0,47,0,0,0,66,28,14,9,9,0,5,14,28,5,14,14,2379,30,6,E,2,d38,338,1364,0,362,42,122,5,0,146,2379,6,E,2,d38,0.142076503,0.573350147,0,0.152164775,0.017654477,0.051282051,0.002101723,0,0.061370324
7,C,2,d38,2,195,5,71,267,64,17,0,14,2,0,29,0,10,83,0,0,21,0,0,36,19,2,0,10,0,0,2,7,21,0,10,0,0,0,14,0,0,2,0,903,23,7,C,2,d38,237,141,7,216,16,267,0,0,19,903,7,C,2,d38,0.262458472,0.156146179,0.007751938,0.239202658,0.017718715,0.295681063,0,0,0.021040975
8,D,2,d38,0,25,11,93,125,93,0,0,14,18,7,0,362,79,93,7,4,0,0,0,36,551,4,32,7,0,0,0,29,39,0,11,0,0,0,0,7,0,4,0,1651,23,8,D,2,d38,677,173,29,64,21,125,0,0,562,1651,8,D,2,d38,0.410054512,0.104784979,0.017565112,0.038764385,0.012719564,0.07571169,0,0,0.340399758
9,E,3,d38,0,352,15,87,117,87,25,0,87,0,0,76,0,1208,97,0,0,5,5,5,25,92,10,0,25,0,0,0,82,15,0,10,15,0,0,0,5,10,0,0,2455,23,9,E,3,d38,393,1379,15,367,87,117,5,0,92,2455,9,E,3,d38,0.160081466,0.561710794,0.00610998,0.149490835,0.035437882,0.047657841,0.00203666,0,0.037474542
10,C,3,d38,0,171,6,88,307,88,48,0,45,0,0,14,0,26,88,0,9,20,20,6,3,199,3,0,65,0,0,3,14,3,0,31,0,0,0,0,0,9,0,0,1266,23,10,C,3,d38,346,160,6,174,45,307,20,0,208,1266,10,C,3,d38,0.273301738,0.126382306,0.004739336,0.137440758,0.035545024,0.242496051,0.015797788,0,0.164296998
11,D,3,d38,0,70,0,97,123,97,0,0,70,0,0,35,185,819,97,79,0,0,53,0,150,1823,0,114,0,0,0,0,97,26,9,26,0,0,0,0,176,0,0,0,4146,19,11,D,3,d38,573,1329,0,96,70,123,53,0,1902,4146,11,D,3,d38,0.138205499,0.320549928,0,0.023154848,0.016883743,0.029667149,0.012783406,0,0.458755427
12,I,3,d38,6,161,0,87,224,87,0,0,130,19,0,143,0,1322,87,19,0,0,6,12,43,292,0,12,81,0,0,0,50,50,19,6,0,0,6,37,50,25,6,0,2980,26,12,I,3,d38,392,1681,19,211,136,224,6,0,311,2980,12,I,3,d38,0.131543624,0.56409396,0.006375839,0.070805369,0.045637584,0.075167785,0.002013423,0,0.104362416
13,D,4,d38,8,86,0,91,96,48,25,0,40,0,0,3,3,362,93,13,5,13,0,5,35,55,0,3,38,0,0,0,28,8,0,13,0,0,3,0,18,0,0,0,1092,24,13,D,4,d38,301,480,0,94,48,96,0,0,73,1092,13,D,4,d38,0.275641026,0.43956044,0,0.086080586,0.043956044,0.087912088,0,0,0.066849817
14,I,4,d38,0,120,0,87,65,87,76,0,76,0,0,130,0,2738,87,22,76,0,0,11,272,1456,0,0,76,0,0,0,65,0,22,22,11,0,0,0,130,0,0,0,5629,20,14,I,4,d38,413,3401,0,120,76,65,0,0,1554,5629,14,I,4,d38,0.073370048,0.604192574,0,0.021318174,0.01350151,0.011547344,0,0,0.27607035
15,E,4,d38,0,282,9,88,176,79,13,0,40,0,4,18,0,1234,88,0,4,4,9,4,40,79,0,0,31,0,0,0,53,22,13,40,4,0,0,9,13,0,9,0,2365,26,15,E,4,d38,343,1397,9,304,44,176,9,0,83,2365,15,E,4,d38,0.145031712,0.590697674,0.003805497,0.128541226,0.018604651,0.074418605,0.003805497,0,0.035095137
16,C,4,d38,0,148,4,88,335,88,18,0,55,11,0,13,4,51,88,0,0,20,4,4,13,37,4,2,11,0,0,0,0,24,0,0,11,0,0,0,0,0,0,0,1033,22,16,C,4,d38,290,125,15,172,55,335,4,0,37,1033,16,C,4,d38,0.280735721,0.121006776,0.014520813,0.166505324,0.053242982,0.324298161,0.003872217,0,0.035818006
